epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.7927240338818781,0.7927240338818781,1.071581371214198,0.0,0.0,1.0,0.0,0.0,0.7385159010600707,0.0,0.0,283,1131,348,0,0,0,0,0.3098682679628071,0.3098682679628071,1.0045751758005428,0.0,0.0,0.16430411199954423,0.20282164690973306,0.2313153196555131,0.9897182018898271,0.6940476189977229,0.8166666666212963,0.5714285713741497,0.7452380952380954,0.8236701076637858,285,0.49999999999699524,0.0,0.9999999999939905,0.5287478146853147,0.0801317632477331,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
2,0.769342967095784,0.769342967095784,0.9790295420706957,0.0,0.0,1.0,0.0,0.0,0.7879858657243817,0.0,0.0,283,1131,348,0,0,0,0,0.2901532114597789,0.2901532114597789,0.9410248474143017,0.0,0.0,0.2328983416611498,0.259202924252898,0.5007808575395725,0.9754384229405353,0.5238095237794784,0.9999999999444444,0.04761904761451247,0.5974603174603175,0.7232360976756574,285,0.5309822989293345,0.43636363632396696,0.6256009615347019,0.5333205856643357,0.08954321704755813,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
3,0.7107532478664745,0.7107532478664745,0.9297563407955498,0.0,0.0,1.0,0.0,0.0,0.7667844522968198,0.0,0.0,283,1131,348,0,0,0,0,0.28717095391792163,0.28717095391792163,0.9309899375356477,0.0,0.0,0.223912218416279,0.2443987256383898,0.6078764694056888,0.965369115887193,0.4999999999722222,0.9999999999444444,0.0,0.6688359788359788,0.7519507757685207,285,0.5286986450789494,0.536363636314876,0.5210336538430227,0.5281441215034964,0.09832838191581968,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
4,0.6873403195255525,0.6873403195255525,0.8983241750419825,0.0,0.0,1.0,0.0,0.0,0.7667844522968198,0.0,0.0,283,1131,348,0,0,0,0,0.27342985220122756,0.27342985220122756,0.8858449637204752,0.0,0.0,0.2490823038599708,0.278953577478274,0.4136008244759546,0.9856506025092934,0.4964285714008031,0.9833333332787036,0.009523809522902495,0.7095767195767196,0.8215288535965073,285,0.479512674810716,0.2727272727024794,0.6862980769189526,0.4749945367132867,0.07873292345497826,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
5,0.656547767782928,0.656547767782928,0.873870524609911,0.0,0.0,1.0,0.0,0.0,0.7526501766784452,0.0,0.0,283,1131,348,0,0,0,0,0.26877501052722597,0.26877501052722597,0.8725301150617928,0.0,0.0,0.25353693013841455,0.29191729486801854,0.4003164806844582,0.9868896162060501,0.49444444441697527,0.9888888888339505,0.0,0.6482010582010582,0.723416549703956,285,0.5181326485820767,0.3818181817834711,0.6544471153806825,0.5324191433566433,0.07642099077861932,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
6,0.6712034828993834,0.6712034828993834,0.8558253925935976,0.0,0.0,1.0,0.0,0.0,0.7773851590106007,0.0,0.0,283,1131,348,0,0,0,0,0.25951996769821434,0.25951996769821434,0.8417675152592276,0.0,0.0,0.2803140729665756,0.31518561834367015,0.482874677616296,0.9844134879650734,0.4999999999722222,0.9999999999444444,0.0,0.6281481481481481,0.7416917197385318,285,0.5324519230524984,0.49999999995454547,0.5649038461504513,0.5576322115384615,0.0784667745789203,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
7,0.6347741885695386,0.6347741885695386,0.8370225072420877,0.0,0.0,1.0,0.0,0.0,0.7597173144876325,0.0,0.0,283,1131,348,0,0,0,0,0.2529362385733086,0.2529362385733086,0.8194888857589371,0.0,0.0,0.29576933451674203,0.3306359913544721,0.37003241291376754,0.9922340757878668,0.5115079364789524,0.9944444443891974,0.028571428568707483,0.658994708994709,0.7374144764034705,285,0.5343203671138339,0.37272727269338846,0.6959134615342795,0.5528791520979021,0.07992570722681168,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
8,0.6429626881601956,0.6429626881601956,0.829994045626158,0.0,0.0,1.0,0.0,0.0,0.7773851590106007,0.0,0.0,283,1131,348,0,0,0,0,0.2533387100487425,0.2533387100487425,0.8206595072801086,0.0,0.0,0.28909065506675025,0.3360250138689765,0.4057188047247459,0.9904922052864419,0.50198412695605,0.9944444443891974,0.009523809522902495,0.7147089947089946,0.8062305310352077,285,0.5574246066214833,0.43636363632396696,0.6784855769189996,0.561358173076923,0.08189859709565603,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
9,0.6280935143707708,0.6280935143707708,0.8267582917007906,0.0,0.0,1.0,0.0,0.0,0.7667844522968198,0.0,0.0,283,1131,348,0,0,0,0,0.24986596023827268,0.24986596023827268,0.810256189998539,0.0,0.0,0.3025916178118099,0.3408366514247294,0.4270239493331843,0.989533234208179,0.5059523809237055,0.9833333332787036,0.028571428568707483,0.5436772486772488,0.668481774914724,285,0.5632867132632611,0.47272727268429754,0.6538461538422246,0.5459899475524476,0.07184694903606131,1774,72,285,87,0,0,0,0,composite,0,0,1,1.0,1,0,0
10,0.760774202078291,1.8651129644492577,0.832428724001879,1.2034882879320377,0.0,1.0,0.10000000000000046,0.0,0.7667844522968198,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.3225404549847569,0.9665789917895669,0.8140496782872869,1.0163544234519972,0.0,0.2989864105528051,0.3386213351583587,0.46434506406011516,0.987561849541093,0.5789682539317429,0.9388888888367284,0.21904761902675737,0.7889417989417989,0.8873624448774438,285,0.5352436625772498,0.16363636362148762,0.9068509615330118,0.5971427010489511,0.10561630659895951,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
11,0.7286898479274055,1.63591237430758,0.8141014536564377,0.9978413747093747,0.0,1.0,0.10000000000000046,0.0,0.773851590106007,0.9893992932862191,0.0,283,1131,348,782,772522,0,0,0.3170654458696382,0.9320900302184255,0.807199590507595,0.9679189714489576,0.0,0.30276290056380356,0.34730116345903256,0.45060985976336254,0.988919124846315,0.6007936507551713,0.9444444443919753,0.2571428571183674,0.7935978835978836,0.8912379408125186,285,0.528780594397014,0.12727272726115704,0.9302884615328709,0.6097246503496504,0.12675909506619124,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
12,0.7435579047226253,1.6364525692532486,0.802222512491133,0.9835247970938167,0.0,1.0,0.10000000000000046,0.0,0.8021201413427562,0.9929328621908127,0.0,283,1131,348,782,772522,0,0,0.3171994581818581,0.9239616084517094,0.8107543121809246,0.9568347736529679,0.0,0.3017107830806212,0.34264951746891503,0.4039968457025107,0.9907908727388328,0.6567460316999086,0.8277777777317901,0.4857142856680272,0.785925925925926,0.887396214653269,285,0.5181107954475728,0.09090909090082645,0.9453124999943191,0.6275622814685314,0.12167179061602923,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
13,0.6997120881586556,1.565267555488094,0.7980119979073261,0.9673341906731534,0.0,1.0,0.10000000000000046,0.0,0.7561837455830389,0.9858657243816255,0.0,283,1131,348,779,772522,0,0,0.3112687065413124,0.9215465725513927,0.7905764942881705,0.9641354376860668,0.0,0.3174019245938821,0.36006264262174287,0.49010078787955,0.9881042167408204,0.5809523809155707,0.9333333332814815,0.22857142854965987,0.7771428571428571,0.8839191823771788,285,0.5261527534871671,0.14545454544132233,0.9068509615330118,0.6150021853146854,0.12213087606593885,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
14,0.7125052712482229,1.5813167074103993,0.7940930111826151,0.9639038285734449,0.0,1.0,0.10000000000000046,0.0,0.7809187279151943,0.9823321554770318,0.0,283,1131,348,777,772522,0,0,0.31455136981972476,0.9107051608855264,0.8062441746393839,0.9400715560857412,0.0,0.3019260838627815,0.34268963211150893,0.4608444506540106,0.9882521703417605,0.6579365078899408,0.8111111110660494,0.5047619047138322,0.7807407407407407,0.8860377890947987,285,0.518935751742046,0.07272727272066117,0.9651442307634307,0.6035292832167831,0.11142559611408584,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
15,0.6925359996913494,1.559714005649037,0.79679684777712,0.9560720630985007,0.0,1.0,0.10000000000000046,0.0,0.7491166077738516,0.9858657243816255,0.0,283,1131,348,781,772522,0,0,0.3137517379825575,0.9273149270760386,0.797778337851338,0.9664150371462468,0.0,0.30843519453297963,0.3524308552668752,0.38820317240031577,0.9923776860445717,0.6511904761446617,0.8166666666212963,0.4857142856680272,0.7761375661375662,0.8818750971630023,285,0.5202141608321755,0.09090909090082645,0.9495192307635246,0.6143793706293706,0.12446090021692971,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
16,0.6974306459004219,1.533810208056692,0.7836961577507271,0.9378435908385504,0.0,1.0,0.10000000000000046,0.0,0.7632508833922261,0.9717314487632509,0.0,283,1131,348,779,772522,0,0,0.309591088274069,0.9105938831965129,0.7888267910343477,0.9474885049689988,0.0,0.32093499262224545,0.360716154599536,0.506086499270644,0.9874998086162431,0.6190476190058578,0.8666666666185184,0.3714285713931973,0.7830158730158729,0.8858567813613609,285,0.5126256555882377,0.07272727272066117,0.9525240384558142,0.6392127403846154,0.14028202468402462,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
17,0.685977646107699,1.534227259911656,0.7733746952880388,0.9422477248463959,0.0,1.0,0.10000000000000046,0.0,0.7632508833922261,0.9752650176678446,0.0,283,1131,348,777,772522,0,0,0.3092670699744894,0.9207248587357371,0.7831346961273544,0.9633010485327672,0.0,0.32411209629340604,0.36906980638661274,0.3947916114987137,0.9933245329290404,0.6587301586824137,0.7555555555135802,0.5619047618512472,0.7739153439153438,0.8811668065705272,285,0.5184112762168017,0.09090909090082645,0.945913461532777,0.6381501311188811,0.1254034718768773,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
18,0.7159793415921225,1.5621866586459199,0.779095625911636,0.9455024934794636,0.0,1.0,0.10000000000000046,0.0,0.7915194346289752,0.9893992932862191,0.0,283,1131,348,781,772522,0,0,0.30724694404685704,0.9091216785865918,0.77980803347182,0.9473827458447414,0.0,0.32728217068043625,0.36472908727674863,0.46507541556506865,0.9896568324587282,0.6003968253576122,0.9055555555052469,0.29523809520997735,0.7866137566137567,0.8877703830616535,285,0.5414772727178442,0.14545454544132233,0.9374999999943661,0.6474377185314686,0.13798049321023964,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
19,0.6788589146472415,1.5222628990387517,0.771735874229464,0.9421604390099425,0.0,1.0,0.10000000000000046,0.0,0.7632508833922261,0.9823321554770318,0.0,283,1131,348,782,772522,0,0,0.307960647867437,0.908998299481576,0.7827265146134914,0.9476178053763319,0.0,0.3251331197944554,0.36263235556943374,0.40661480156892954,0.992332854148108,0.6694444443953482,0.7388888888478394,0.5999999999428571,0.7767724867724868,0.8837892394009831,285,0.5158927010431494,0.06363636363057852,0.9681490384557203,0.6390570367132866,0.12574004562034016,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
20,0.6626937949781287,1.499044710192187,0.7718984617412775,0.9366247710293489,0.0,1.0,0.10000000000000046,0.0,0.7455830388692579,0.9893992932862191,0.0,283,1131,348,781,772522,0,0,0.3083001150112403,0.9016910391941405,0.7869823938128592,0.9367541378316221,0.0,0.3215818059715358,0.3600094703614561,0.56938349592821,0.9845506648844378,0.6829365078859064,0.7277777777373456,0.6380952380344671,0.7771957671957671,0.8823929313353874,285,0.5161931818123784,0.06363636363057852,0.9687499999941782,0.6185560533216783,0.12848570665091286,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
21,0.6664623018258657,1.500907592864083,0.7660352023339819,0.9314509490606586,0.0,1.0,0.10000000000000046,0.0,0.7561837455830389,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.30823015811150534,0.9182696543241802,0.7803859374989038,0.9615301088944673,0.0,0.32979137247258966,0.3658361004520424,0.35470105604091756,0.9949108091423167,0.5813492063118071,0.9055555555052469,0.2571428571183674,0.7795767195767196,0.8833905624816943,285,0.5187117569860307,0.09090909090082645,0.9465144230712349,0.6150841346153846,0.12167131287307181,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
22,0.6790018356236391,1.5078559078862455,0.7636466536713743,0.9307140305213454,0.0,1.0,0.10000000000000046,0.0,0.7703180212014135,0.9823321554770318,0.0,283,1131,348,781,772522,0,0,0.3084670016378687,0.9164567874189009,0.7818078241129031,0.9589761526906806,0.0,0.3243049532175064,0.3623273941468806,0.4301561445568995,0.9912103164448066,0.6876984126473576,0.7277777777373456,0.6476190475573697,0.782010582010582,0.8837239181524478,285,0.5234812062870873,0.08181818181074381,0.9651442307634307,0.6261691433566433,0.12092181003327623,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
23,0.6465596669970309,1.487158395040362,0.750502156286404,0.9332400967951312,0.0,1.0,0.10000000000000046,0.0,0.7420494699646644,0.9858657243816255,0.0,283,1131,348,783,772522,0,0,0.3050091160232561,0.9073935381153173,0.773051707909025,0.9469237518034596,0.0,0.33401973477818747,0.37206959790284555,0.4864303650534623,0.9891983539865357,0.6182539682120622,0.8555555555080246,0.3809523809160998,0.785925925925926,0.887191219966363,285,0.5280649038387354,0.0999999999909091,0.9561298076865618,0.629097465034965,0.1302100104504219,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
24,0.6597811378123589,1.5215136680215149,0.7534987333005873,0.9273981871977206,0.0,1.0,0.10000000000000046,0.0,0.7561837455830389,0.9858657243816255,0.0,283,1131,348,782,772522,0,0,0.3112314229733066,0.9044262520053931,0.7962158555271982,0.9352862706362426,0.0,0.3127554878592491,0.3506310264880846,0.5138403067457326,0.9863675693108239,0.6083333332929233,0.8833333332842592,0.3333333333015873,0.7853439153439152,0.8885552641711868,285,0.5165319055882143,0.07272727272066117,0.9603365384557673,0.6092192963286713,0.11569255583266586,1774,72,285,87,193,177463,0,0,composite,0,0,1,1.0,1,1,0
